央视频道,#genre#
北京卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226204/index.m3u8
江苏卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226136/index.m3u8
浙江卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226148/index.m3u8
山东卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226214/index.m3u8
深圳卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226210/index.m3u8
深圳卫视720HD,http://39.134.240.3/PLTV/2/224/3221225892/index.m3u8
天津卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226206/index.m3u8
黑龙江卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226216/index.m3u8
湖北卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226212/index.m3u8
湖南卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226324/index.m3u8
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
湖南卫视720HD,http://39.134.240.3/PLTV/2/224/3221226132/index.m3u8
湖南卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001242/index.m3u8?
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
北京卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047443/index.m3u8?
天津卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047444/index.m3u8?
东方卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047445/index.m3u8?
深圳卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047446/index.m3u8?
湖北卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047447/index.m3u8?
山东卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047448/index.m3u8?
江苏卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001244/index.m3u8?
浙江卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001250/index.m3u8?
北京卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047443/main.m3u8
天津卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047444/main.m3u8
江苏卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001244/main.m3u8
浙江卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182563/main.m3u8
东方卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047445/main.m3u8
深圳卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047446/main.m3u8
山东卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047448/main.m3u8
湖北卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047447/main.m3u8
黑龙江卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047449/main.m3u8
广东卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040391/main.m3u8
贵州卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040424/main.m3u8
东南卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040459/main.m3u8
河北卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007223/main.m3u8
安徽卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007224/main.m3u8
辽宁卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007225/main.m3u8
厦门卫视,http://183.215.102.57:8089/180000001001/00000001000000000022000000381023/main.m3u8
江西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182287/main.m3u8
四川卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182257/main.m3u8
重庆卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182258/main.m3u8
吉林卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182264/main.m3u8
山西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182271/main.m3u8
海南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000181765/main.m3u8
青海卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182317/main.m3u8
广西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182256/main.m3u8
河南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182260/main.m3u8
云南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182259/main.m3u8
陕西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182270/main.m3u8
宁夏卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182273/main.m3u8
内蒙古卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182272/main.m3u8
西Z卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182274/main.m3u8
新疆卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182275/main.m3u8
卡酷动画,http://183.215.102.57:8089/180000001001/00000000000000020000000000182277/main.m3u8
嘉佳卡通,http://183.215.102.57:8089/180000001001/00000001000000000022000000381025/main.m3u8
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8
炫动卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182497/main.m3u8
山东教育,http://183.215.102.57:8089/180000001001/00000001000000000016000000007227/main.m3u8
兵团卫视,http://183.215.102.57:8089/180000001001/00000001000000000022000000381024/main.m3u8
南方卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182538/main.m3u8
先锋乒羽,http://183.215.102.57:8089/180000001001/00000000000000020000000000182319/main.m3u8
卫视标清,#genre#
安徽卫视,http://39.134.240.3/PLTV/2/224/3221225964/index.m3u8
北京卡酷,http://39.134.240.3/PLTV/2/224/3221225994/index.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221225890/index.m3u8
东方卫视,http://39.134.240.3/PLTV/2/224/3221226088/index.m3u8
东南卫视,http://39.134.240.3/PLTV/2/224/3221225968/index.m3u8
甘肃卫视,http://39.134.240.3/PLTV/2/224/3221225779/index.m3u8
广东卫视,http://39.134.240.3/PLTV/2/224/3221225970/index.m3u8
广西卫视,http://39.134.240.3/PLTV/2/224/3221225978/index.m3u8
贵州卫视,http://39.134.240.3/PLTV/2/224/3221225990/index.m3u8
海南卫视,http://39.134.240.3/PLTV/2/224/3221225992/index.m3u8
河北卫视,http://39.134.240.3/PLTV/2/224/3221226070/index.m3u8
河南卫视,http://39.134.240.3/PLTV/2/224/3221226068/index.m3u8
黑龙江卫视,http://39.134.240.3/PLTV/2/224/3221225896/index.m3u8
湖北卫视,http://39.134.240.3/PLTV/2/224/3221225962/index.m3u8
